5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 00:00	12	35	29	27	3	106	5	100
09/02/2015 00:05	11	33	28	51	6	129	5	100
09/02/2015 00:10	18	23	30	88	6	165	5	100
09/02/2015 00:15	13	30	23	77	7	150	5	100
09/02/2015 00:20	11	24	26	81	5	147	5	100
09/02/2015 00:25	9	24	21	90	3	147	5	100
09/02/2015 00:30	6	24	18	72	3	123	5	100
09/02/2015 00:35	10	25	23	66	4	128	5	100
09/02/2015 00:40	10	24	18	57	7	116	5	100
09/02/2015 00:45	10	16	18	58	4	106	5	100
09/02/2015 00:50	6	12	22	63	1	104	5	100
09/02/2015 00:55	8	24	25	65	1	123	5	100
09/02/2015 01:00	4	19	17	46	3	89	5	100
09/02/2015 01:05	4	29	29	59	4	125	5	100
09/02/2015 01:10	9	19	23	46	4	101	5	100
09/02/2015 01:15	6	22	18	60	2	108	5	100
09/02/2015 01:20	3	17	19	61	2	102	5	100
09/02/2015 01:25	3	16	17	69	2	107	5	100
09/02/2015 01:30	3	16	18	81	4	122	5	100
09/02/2015 01:35	9	16	19	53	1	98	5	100
09/02/2015 01:40	4	14	18	56	2	94	5	100
09/02/2015 01:45	3	20	23	62	1	109	5	100
09/02/2015 01:50	41	15	17	74	1	148	5	100
09/02/2015 01:55	28	19	13	64	0	124	5	100
09/02/2015 02:00	50	13	14	56	4	137	5	100
09/02/2015 02:05	22	17	17	56	3	115	5	100
09/02/2015 02:10	18	15	17	72	0	122	5	100
09/02/2015 02:15	26	16	13	85	1	141	5	100
09/02/2015 02:20	16	12	19	79	1	127	5	80
09/02/2015 02:25	30	13	15	81	1	140	5	100
09/02/2015 02:30	49	16	15	80	1	161	5	100
09/02/2015 02:35	80	9	15	78	2	184	5	100
09/02/2015 02:40	53	23	16	72	2	166	5	100
09/02/2015 02:45	30	13	19	83	1	146	5	100
09/02/2015 02:50	10	18	16	93	1	138	5	100
09/02/2015 02:55	25	12	11	77	2	127	5	100
09/02/2015 03:00	23	11	17	79	1	131	5	80
09/02/2015 03:05	16	17	15	84	1	133	5	100
09/02/2015 03:10	26	16	12	74	1	129	5	80
09/02/2015 03:15	17	16	15	81	0	129	5	80
09/02/2015 03:20	50	24	17	68	0	159	5	100
09/02/2015 03:25	27	16	30	87	0	160	5	100
09/02/2015 03:30	20	19	30	71	0	140	5	80
09/02/2015 03:35	12	17	21	77	2	129	5	80
09/02/2015 03:40	30	18	28	53	2	131	5	100
09/02/2015 03:45	40	26	24	53	4	147	5	100
09/02/2015 03:50	56	22	18	45	1	142	5	100
09/02/2015 03:55	27	18	18	56	2	121	5	100
09/02/2015 04:00	45	29	13	63	5	155	5	100
09/02/2015 04:05	22	28	24	52	3	129	5	80
09/02/2015 04:10	21	33	17	64	0	135	5	80
09/02/2015 04:15	20	28	23	43	0	114	5	80
09/02/2015 04:20	10	29	23	53	3	118	5	100
09/02/2015 04:25	15	31	28	61	2	137	5	100
09/02/2015 04:30	9	33	31	59	2	134	5	100
09/02/2015 04:35	26	28	31	67	3	155	5	100
09/02/2015 04:40	40	54	40	55	5	194	5	100
09/02/2015 04:45	33	59	36	45	2	175	5	80
09/02/2015 04:50	31	41	31	62	2	167	5	80
09/02/2015 04:55	51	46	39	45	3	184	5	100
09/02/2015 05:00	50	49	40	29	5	173	5	100
09/02/2015 05:05	24	49	36	28	5	142	5	80
09/02/2015 05:10	28	53	40	27	8	156	5	80
09/02/2015 05:15	40	81	55	21	2	199	5	100
09/02/2015 05:20	41	76	56	27	5	205	5	100
09/02/2015 05:25	46	80	58	24	6	214	5	100
09/02/2015 05:30	56	93	73	27	8	257	5	100
09/02/2015 05:35	48	86	62	34	7	237	5	100
09/02/2015 05:40	78	109	77	33	6	303	5	100
09/02/2015 05:45	86	119	76	43	8	332	5	100
09/02/2015 05:50	72	127	79	48	8	334	5	100
09/02/2015 05:55	87	121	77	66	5	356	5	100
09/02/2015 06:00	66	118	81	33	7	305	5	100
09/02/2015 06:05	76	114	77	37	12	316	5	100
09/02/2015 06:10	90	130	82	53	10	365	5	100
09/02/2015 06:15	96	130	94	59	10	389	5	100
09/02/2015 06:20	148	174	111	34	11	478	5	100
09/02/2015 06:25	139	162	103	33	8	445	5	100
09/02/2015 06:30	141	153	123	22	13	452	5	100
09/02/2015 06:35	157	172	118	34	7	488	5	100
