5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/02/2015 00:00	76.5	74	72	69.2	64.5	72.2	5	100
09/02/2015 00:05	76.7	74.4	69.9	58.2	64.5	66.8	5	100
09/02/2015 00:10	76.5	74.4	68.2	71	64.5	71.3	5	100
09/02/2015 00:15	76.3	74.7	62.5	78.3	64.5	74.3	5	100
09/02/2015 00:20	76.2	73.7	68.3	78.8	64.6	75.4	5	100
09/02/2015 00:25	76.1	74.1	67.8	79.2	64.6	76.3	5	100
09/02/2015 00:30	76.2	73.2	71.7	79.2	64.6	76.4	5	100
09/02/2015 00:35	76.1	73.5	65.2	76.4	64.5	73.4	5	100
09/02/2015 00:40	76.4	71.7	68.1	79.2	64.5	74.8	5	100
09/02/2015 00:45	76.5	73	69.4	79.2	64.6	75.8	5	100
09/02/2015 00:50	76.7	73.2	64.1	79.2	64.7	75	5	100
09/02/2015 00:55	76.4	73.9	65.1	69.1	64.7	69.7	5	100
09/02/2015 01:00	76.5	73.9	69.1	79.2	64.6	75.5	5	100
09/02/2015 01:05	76.5	72.3	63.8	79.2	64.5	73.5	5	100
09/02/2015 01:10	76.4	73.6	72.7	58.2	64.4	66.3	5	100
09/02/2015 01:15	76.5	73.9	74.7	79.2	64.4	76.9	5	100
09/02/2015 01:20	76.6	73.6	75.3	79.2	64.4	77.2	5	100
09/02/2015 01:25	76.3	74.1	75.4	79.2	64.4	77.5	5	100
09/02/2015 01:30	76.6	74.4	69.4	79.2	64.5	76.6	5	100
09/02/2015 01:35	39.8	74.4	70.6	79.2	64.6	73	5	100
09/02/2015 01:40	22.9	73.4	70.1	79.2	64.5	73.9	5	100
09/02/2015 01:45	49.8	72	63.4	79.2	64.6	73.6	5	100
09/02/2015 01:50	31	73.2	62	79.2	64.6	63.2	5	100
09/02/2015 01:55	16.5	73	64.7	79.2	64.6	62.6	5	100
09/02/2015 02:00	9.4	73.6	68.7	79.2	64.5	51.7	5	100
09/02/2015 02:05	5.8	73.8	70.5	79.2	64.5	62.7	5	100
09/02/2015 02:10	3.4	74.2	71.8	79.2	64.5	66.4	5	100
09/02/2015 02:15	3	74.4	71.2	79.2	64.5	63.8	5	100
09/02/2015 02:20	67.5	73.5	65.5	79.2	64.5	75	5	80
09/02/2015 02:25	76.5	73.6	66.3	79.2	64.5	76.6	5	100
09/02/2015 02:30	40	73.4	69	79.2	64.5	65.7	5	100
09/02/2015 02:35	22.2	73.9	73	79.2	64.4	53.5	5	100
09/02/2015 02:40	15	73.2	65.9	79.2	64.4	56.4	5	100
09/02/2015 02:45	8.2	73.6	62.5	79.2	64.5	61.8	5	100
09/02/2015 02:50	5.7	73.8	62.8	79.2	64.5	71.2	5	100
09/02/2015 02:55	5.6	73.9	60.8	79.2	64.4	62.4	5	100
09/02/2015 03:00	65	74	68.4	79.2	64.6	74.8	5	80
09/02/2015 03:05	76.5	73.9	71.8	79.2	64.7	77.3	5	100
09/02/2015 03:10	67.5	73.5	71.6	79.2	64.7	75.3	5	80
09/02/2015 03:15	64.7	73.5	67.6	79.2	64.7	75.2	5	80
09/02/2015 03:20	76.5	74.1	68.7	79.2	64.7	76.5	5	100
09/02/2015 03:25	38.9	74	70.1	79.2	64.7	70.2	5	100
09/02/2015 03:30	70	74.1	75.4	79.2	64.7	76.4	5	80
09/02/2015 03:35	70.3	74.1	70	79.2	64.5	76	5	80
09/02/2015 03:40	76.5	74	70.1	79.2	64.5	75.7	5	100
09/02/2015 03:45	39.2	74.6	74	79.2	64.6	66.3	5	100
09/02/2015 03:50	21.1	73.8	74.1	79.2	64.7	54.7	5	100
09/02/2015 03:55	11.2	74	69.7	79.2	64.6	61.6	5	100
09/02/2015 04:00	6.8	74.2	70.5	79.2	64.6	56	5	100
09/02/2015 04:05	62	73.1	64.9	79.2	64.5	71.9	5	80
09/02/2015 04:10	62.1	69.7	65.3	79.2	64.5	72.5	5	80
09/02/2015 04:15	64.3	72.5	68.1	79.2	64.5	72.7	5	80
09/02/2015 04:20	76.5	73.4	67.1	79.2	64.5	74.8	5	100
09/02/2015 04:25	76.3	72.9	67.2	79.2	64.4	74.8	5	100
09/02/2015 04:30	76.5	72.2	71.8	79.2	64.4	75.4	5	100
09/02/2015 04:35	41.2	71.9	72	79.2	64.5	69.8	5	100
09/02/2015 04:40	21.5	73.6	66.5	79.2	64.6	62.7	5	100
09/02/2015 04:45	67.8	73.6	72.5	79.2	64.5	73.6	5	80
09/02/2015 04:50	66.1	72.8	68.5	79.2	64.5	73	5	80
09/02/2015 04:55	3	71.7	72	79.2	64.5	54.4	5	100
09/02/2015 05:00	3	72.3	69.6	46.7	64.6	47.1	5	100
