5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Lane 4 Truck Prop (%)	Lane 5 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/02/2015 00:00	0	0	48.3	48.1	0	25.5	5	100
09/02/2015 00:05	0	0	32.1	49	0	26.4	5	100
09/02/2015 00:10	0	0	30	50	0	32.1	5	100
09/02/2015 00:15	0	0	47.8	49.4	0	32.7	5	100
09/02/2015 00:20	0	0	15.4	49.4	0	29.9	5	100
09/02/2015 00:25	0	0	33.3	50	0	35.4	5	100
09/02/2015 00:30	0	0	5.6	44.4	0	26.8	5	100
09/02/2015 00:35	0	0	39.1	50	0	32.8	5	100
09/02/2015 00:40	0	0	11.1	36.8	0	19.8	5	100
09/02/2015 00:45	0	0	27.8	50	0	32.1	5	100
09/02/2015 00:50	0	0	36.4	47.6	0	36.5	5	100
09/02/2015 00:55	0	0	36	49.2	0	33.3	5	100
09/02/2015 01:00	0	0	23.5	50	0	30.3	5	100
09/02/2015 01:05	0	0	34.5	47.5	0	30.4	5	100
09/02/2015 01:10	0	0	13	50	0	25.7	5	100
09/02/2015 01:15	0	0	11.1	50	0	29.6	5	100
09/02/2015 01:20	0	0	10.5	36.1	0	23.5	5	100
09/02/2015 01:25	0	0	17.6	36.2	0	26.2	5	100
09/02/2015 01:30	0	0	50	49.4	0	40.2	5	100
09/02/2015 01:35	0	0	31.6	49.1	0	32.7	5	100
09/02/2015 01:40	0	0	16.7	32.1	0	22.3	5	100
09/02/2015 01:45	0	0	30.4	14.5	0	14.7	5	100
09/02/2015 01:50	0	0	47.1	33.8	0	22.3	5	100
09/02/2015 01:55	0	0	30.8	42.2	0	25	5	100
09/02/2015 02:00	0	0	28.6	30.4	0	15.3	5	100
09/02/2015 02:05	0	0	29.4	50	0	28.7	5	100
09/02/2015 02:10	0	0	29.4	30.6	0	22.1	5	100
09/02/2015 02:15	0	0	38.5	38.8	0	27	5	100
09/02/2015 02:20	0	0	31.6	15.2	0	14.2	5	80
09/02/2015 02:25	0	0	40	21	0	16.4	5	100
09/02/2015 02:30	0	0	20	31.3	0	17.4	5	100
09/02/2015 02:35	0	0	6.7	32.1	0	14.1	5	100
09/02/2015 02:40	0	0	43.8	26.4	0	15.7	5	100
09/02/2015 02:45	0	0	47.4	19.3	0	17.1	5	100
09/02/2015 02:50	0	0	50	44.1	0	35.5	5	100
09/02/2015 02:55	0	0	45.5	22.1	0	17.3	5	100
09/02/2015 03:00	0	0	17.6	49.4	0	32.1	5	80
09/02/2015 03:05	0	0	13.3	29.8	0	20.3	5	100
09/02/2015 03:10	0	0	25	29.7	0	19.4	5	80
09/02/2015 03:15	0	0	46.7	25.9	0	21.7	5	80
09/02/2015 03:20	0	0	41.2	42.6	0	22.6	5	100
09/02/2015 03:25	0	0	30	31	0	22.5	5	100
09/02/2015 03:30	0	0	23.3	23.9	0	17.1	5	80
09/02/2015 03:35	0	0	42.9	20.8	0	19.4	5	80
09/02/2015 03:40	0	0	32.1	26.4	0	17.6	5	100
09/02/2015 03:45	0	0	29.2	47.2	0	21.8	5	100
09/02/2015 03:50	0	0	22.2	26.7	0	11.3	5	100
09/02/2015 03:55	0	0	44.4	50	0	29.8	5	100
09/02/2015 04:00	0	0	30.8	38.1	0	18.1	5	100
09/02/2015 04:05	0	0	37.5	42.3	0	24	5	80
09/02/2015 04:10	0	0	23.5	15.6	0	10.4	5	80
