5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 00:00	6	6	1	100
09/02/2015 00:05	5	5	1	100
09/02/2015 00:10	4	4	1	100
09/02/2015 00:15	3	3	1	100
09/02/2015 00:20	2	2	1	100
09/02/2015 00:25	1	1	1	100
09/02/2015 00:30	1	1	1	100
09/02/2015 00:35	1	1	1	100
09/02/2015 00:40	2	2	1	100
09/02/2015 00:45	3	3	1	100
09/02/2015 00:50	2	2	1	100
09/02/2015 00:55	1	1	1	100
09/02/2015 01:00	1	1	1	100
09/02/2015 01:05	0	0	1	100
09/02/2015 01:10	0	0	1	100
09/02/2015 01:15	1	1	1	100
09/02/2015 01:20	0	0	1	100
09/02/2015 01:25	1	1	1	100
09/02/2015 01:30	0	0	1	100
09/02/2015 01:35	4	4	1	100
09/02/2015 01:40	0	0	1	100
09/02/2015 01:45	3	3	1	100
09/02/2015 01:50	2	2	1	100
09/02/2015 01:55	2	2	1	100
09/02/2015 02:00	2	2	1	100
09/02/2015 02:05	3	3	1	100
09/02/2015 02:10	3	3	1	100
09/02/2015 02:15	0	0	1	100
09/02/2015 02:20	1	1	1	100
09/02/2015 02:25	1	1	1	100
09/02/2015 02:30	3	3	1	100
09/02/2015 02:35	0	0	1	100
09/02/2015 02:40	2	2	1	100
09/02/2015 02:45	2	2	1	100
09/02/2015 02:50	2	2	1	100
09/02/2015 02:55	3	3	1	100
09/02/2015 03:00	1	1	1	100
09/02/2015 03:05	2	2	1	100
09/02/2015 03:10	3	3	1	100
09/02/2015 03:15	1	1	1	100
09/02/2015 03:20	1	1	1	100
09/02/2015 03:25	0	0	1	100
09/02/2015 03:30	2	2	1	100
09/02/2015 03:35	2	2	1	100
09/02/2015 03:40	5	5	1	100
09/02/2015 03:45	1	1	1	100
09/02/2015 03:50	2	2	1	100
09/02/2015 03:55	4	4	1	100
09/02/2015 04:00	9	9	1	100
09/02/2015 04:05	0	0	1	100
09/02/2015 04:10	7	7	1	100
09/02/2015 04:15	3	3	1	100
09/02/2015 04:20	4	4	1	100
09/02/2015 04:25	2	2	1	100
09/02/2015 04:30	1	1	1	100
09/02/2015 04:35	2	2	1	100
09/02/2015 04:40	4	4	1	100
09/02/2015 04:45	0	0	1	100
09/02/2015 04:50	5	5	1	100
09/02/2015 04:55	2	2	1	100
09/02/2015 05:00	1	1	1	100
09/02/2015 05:05	2	2	1	100
09/02/2015 05:10	2	2	1	100
09/02/2015 05:15	4	4	1	100
09/02/2015 05:20	2	2	1	100
09/02/2015 05:25	7	7	1	100
09/02/2015 05:30	4	4	1	100
09/02/2015 05:35	5	5	1	100
09/02/2015 05:40	3	3	1	100
09/02/2015 05:45	3	3	1	100
09/02/2015 05:50	7	7	1	100
09/02/2015 05:55	8	8	1	100
09/02/2015 06:00	11	11	1	100
09/02/2015 06:05	14	14	1	100
09/02/2015 06:10	12	12	1	100
09/02/2015 06:15	7	7	1	100
09/02/2015 06:20	12	12	1	100
09/02/2015 06:25	9	9	1	100
09/02/2015 06:30	17	17	1	100
09/02/2015 06:35	19	19	1	100
09/02/2015 06:40	16	16	1	100
09/02/2015 06:45	22	22	1	100
09/02/2015 06:50	19	19	1	100
09/02/2015 06:55	19	19	1	100
09/02/2015 07:00	21	21	1	100
09/02/2015 07:05	22	22	1	100
09/02/2015 07:10	16	16	1	100
09/02/2015 07:15	27	27	1	100
09/02/2015 07:20	20	20	1	100
09/02/2015 07:25	19	19	1	100
09/02/2015 07:30	19	19	1	100
09/02/2015 07:35	21	21	1	100
09/02/2015 07:40	22	22	1	100
09/02/2015 07:45	24	24	1	100
09/02/2015 07:50	18	18	1	100
09/02/2015 07:55	28	28	1	100
09/02/2015 08:00	15	15	1	100
09/02/2015 08:05	15	15	1	100
09/02/2015 08:10	16	16	1	100
09/02/2015 08:15	25	25	1	100
09/02/2015 08:20	18	18	1	100
09/02/2015 08:25	27	27	1	100
09/02/2015 08:30	25	25	1	100
09/02/2015 08:35	31	31	1	100
09/02/2015 08:40	28	28	1	100
09/02/2015 08:45	19	19	1	100
09/02/2015 08:50	14	14	1	100
09/02/2015 08:55	27	27	1	100
09/02/2015 09:00	18	18	1	100
09/02/2015 09:05	21	21	1	100
09/02/2015 09:10	22	22	1	100
09/02/2015 09:15	18	18	1	100
09/02/2015 09:20	16	16	1	100
09/02/2015 09:25	25	25	1	100
09/02/2015 09:30	22	22	1	100
09/02/2015 09:35	19	19	1	100
09/02/2015 09:40	18	18	1	100
09/02/2015 09:45	21	21	1	100
09/02/2015 09:50	21	21	1	100
09/02/2015 09:55	19	19	1	100
09/02/2015 10:00	22	22	1	100
09/02/2015 10:05	19	19	1	100
09/02/2015 10:10	35	35	1	100
09/02/2015 10:15	18	18	1	100
09/02/2015 10:20	22	22	1	100
09/02/2015 10:25	32	32	1	100
09/02/2015 10:30	23	23	1	100
09/02/2015 10:35	22	22	1	100
09/02/2015 10:40	31	31	1	100
09/02/2015 10:45	37	37	1	100
09/02/2015 10:50	34	34	1	100
09/02/2015 10:55	26	26	1	100
09/02/2015 11:00	25	25	1	100
09/02/2015 11:05	34	34	1	100
09/02/2015 11:10	36	36	1	100
09/02/2015 11:15	37	37	1	100
09/02/2015 11:20	27	27	1	100
09/02/2015 11:25	38	38	1	100
09/02/2015 11:30	28	28	1	100
09/02/2015 11:35	37	37	1	100
09/02/2015 11:40	29	29	1	100
09/02/2015 11:45	41	41	1	100
09/02/2015 11:50	30	30	1	100
09/02/2015 11:55	37	37	1	100
09/02/2015 12:00	34	34	1	100
09/02/2015 12:05	38	38	1	100
09/02/2015 12:10	43	43	1	100
09/02/2015 12:15	30	30	1	100
09/02/2015 12:20	29	29	1	100
09/02/2015 12:25	28	28	1	100
09/02/2015 12:30	38	38	1	100
09/02/2015 12:35	32	32	1	100
09/02/2015 12:40	34	34	1	100
09/02/2015 12:45	26	26	1	100
09/02/2015 12:50	24	24	1	100
09/02/2015 12:55	42	42	1	100
09/02/2015 13:00	35	35	1	100
09/02/2015 13:05	45	45	1	100
09/02/2015 13:10	30	30	1	100
09/02/2015 13:15	36	36	1	100
09/02/2015 13:20	36	36	1	100
09/02/2015 13:25	26	26	1	100
09/02/2015 13:30	49	49	1	100
09/02/2015 13:35	39	39	1	100
09/02/2015 13:40	26	26	1	100
09/02/2015 13:45	27	27	1	100
09/02/2015 13:50	31	31	1	100
09/02/2015 13:55	39	39	1	100
09/02/2015 14:00	36	36	1	100
