5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 00:00	10	37	26	73	3	100
09/02/2015 00:05	11	31	29	71	3	100
09/02/2015 00:10	18	23	31	72	3	100
09/02/2015 00:15	13	29	22	64	3	100
09/02/2015 00:20	11	25	26	62	3	100
09/02/2015 00:25	10	23	21	54	3	100
09/02/2015 00:30	5	24	19	48	3	100
09/02/2015 00:35	10	26	21	57	3	100
09/02/2015 00:40	12	24	17	53	3	100
09/02/2015 00:45	9	16	15	40	3	100
09/02/2015 00:50	7	16	20	43	3	100
09/02/2015 00:55	6	25	24	55	3	100
09/02/2015 01:00	4	19	17	40	3	100
09/02/2015 01:05	4	31	27	62	3	100
09/02/2015 01:10	12	20	22	54	3	100
09/02/2015 01:15	6	24	18	48	3	100
09/02/2015 01:20	2	17	17	36	3	100
09/02/2015 01:25	3	19	17	39	3	100
09/02/2015 01:30	3	16	18	37	3	100
09/02/2015 01:35	7	16	17	40	3	100
09/02/2015 01:40	3	15	17	35	3	100
09/02/2015 01:45	3	22	20	45	3	100
09/02/2015 01:50	4	16	15	35	3	100
09/02/2015 01:55	4	21	12	37	3	100
09/02/2015 02:00	6	13	14	33	3	100
09/02/2015 02:05	3	13	20	36	3	100
09/02/2015 02:10	4	16	17	37	3	100
09/02/2015 02:15	3	17	13	33	3	100
09/02/2015 02:20	6	13	15	34	3	100
09/02/2015 02:25	3	13	17	33	3	100
09/02/2015 02:30	4	17	15	36	3	100
09/02/2015 02:35	2	9	15	26	3	100
09/02/2015 02:40	4	24	12	40	3	100
09/02/2015 02:45	5	18	15	38	3	100
09/02/2015 02:50	6	21	17	44	3	100
09/02/2015 02:55	0	12	12	24	3	100
09/02/2015 03:00	5	12	14	31	3	100
09/02/2015 03:05	0	19	15	34	3	100
09/02/2015 03:10	4	18	10	32	3	100
09/02/2015 03:15	7	14	14	35	3	100
09/02/2015 03:20	6	26	15	47	3	100
09/02/2015 03:25	7	18	29	54	3	100
09/02/2015 03:30	4	20	25	49	3	100
09/02/2015 03:35	6	15	20	41	3	100
09/02/2015 03:40	6	21	26	53	3	100
09/02/2015 03:45	8	25	24	57	3	100
09/02/2015 03:50	1	23	17	41	3	100
09/02/2015 03:55	6	17	15	38	3	100
09/02/2015 04:00	1	29	13	43	3	100
09/02/2015 04:05	9	29	25	63	3	100
09/02/2015 04:10	9	32	19	60	3	100
09/02/2015 04:15	10	27	21	58	3	100
09/02/2015 04:20	9	30	20	59	3	100
09/02/2015 04:25	14	35	27	76	3	100
09/02/2015 04:30	9	31	30	70	3	100
09/02/2015 04:35	15	31	32	78	3	100
09/02/2015 04:40	21	57	40	118	3	100
09/02/2015 04:45	19	60	38	117	3	100
09/02/2015 04:50	25	42	31	98	3	100
09/02/2015 04:55	25	48	41	114	3	100
09/02/2015 05:00	17	50	42	109	3	100
09/02/2015 05:05	16	52	35	103	3	100
09/02/2015 05:10	37	51	43	131	3	100
09/02/2015 05:15	41	81	56	178	3	100
09/02/2015 05:20	38	79	56	173	3	100
09/02/2015 05:25	46	83	58	187	3	100
09/02/2015 05:30	59	95	73	227	3	100
09/02/2015 05:35	45	90	65	200	3	100
09/02/2015 05:40	78	107	81	266	3	100
09/02/2015 05:45	85	121	75	281	3	100
09/02/2015 05:50	71	127	80	278	3	100
09/02/2015 05:55	83	127	73	283	3	100
09/02/2015 06:00	64	120	80	264	3	100
09/02/2015 06:05	72	119	78	269	3	100
09/02/2015 06:10	90	132	82	304	3	100
09/02/2015 06:15	97	130	94	321	3	100
09/02/2015 06:20	146	174	112	432	3	100
09/02/2015 06:25	138	166	112	416	3	100
09/02/2015 06:30	134	158	128	420	3	100
09/02/2015 06:35	148	173	118	439	3	100
09/02/2015 06:40	148	159	127	434	3	100
09/02/2015 06:45	171	162	128	461	3	100
09/02/2015 06:50	148	170	117	435	3	100
09/02/2015 06:55	141	155	118	414	3	100
09/02/2015 07:00	132	147	129	408	3	100
09/02/2015 07:05	126	165	116	407	3	100
09/02/2015 07:10	147	158	128	433	3	100
09/02/2015 07:15	147	186	116	449	3	100
09/02/2015 07:20	138	166	137	441	3	100
09/02/2015 07:25	157	162	142	461	3	100
09/02/2015 07:30	174	172	142	488	3	100
09/02/2015 07:35	166	158	137	461	3	100
09/02/2015 07:40	169	160	123	452	3	100
09/02/2015 07:45	176	156	138	470	3	100
09/02/2015 07:50	175	161	117	453	3	100
09/02/2015 07:55	137	156	129	422	3	100
09/02/2015 08:00	149	155	134	438	3	100
09/02/2015 08:05	143	148	122	413	3	100
09/02/2015 08:10	144	158	123	425	3	100
09/02/2015 08:15	158	162	122	442	3	100
09/02/2015 08:20	156	162	124	442	3	100
09/02/2015 08:25	157	164	118	439	3	100
09/02/2015 08:30	121	143	123	387	3	100
09/02/2015 08:35	133	152	130	415	3	100
09/02/2015 08:40	144	156	137	437	3	100
09/02/2015 08:45	131	151	127	409	3	100
09/02/2015 08:50	133	155	141	429	3	100
09/02/2015 08:55	123	139	122	384	3	100
09/02/2015 09:00	93	138	114	345	3	100
09/02/2015 09:05	126	148	130	404	3	100
09/02/2015 09:10	99	148	125	372	3	100
09/02/2015 09:15	94	126	109	329	3	100
09/02/2015 09:20	114	147	120	381	3	100
09/02/2015 09:25	101	140	125	366	3	100
09/02/2015 09:30	104	151	119	374	3	100
09/02/2015 09:35	111	139	107	357	3	100
09/02/2015 09:40	134	144	109	387	3	100
09/02/2015 09:45	123	138	121	382	3	100
09/02/2015 09:50	124	145	119	388	3	100
09/02/2015 09:55	100	131	114	345	3	100
09/02/2015 10:00	110	143	116	369	3	100
09/02/2015 10:05	101	141	119	361	3	100
09/02/2015 10:10	102	123	118	343	3	100
09/02/2015 10:15	111	140	125	376	3	100
09/02/2015 10:20	104	138	107	349	3	100
09/02/2015 10:25	96	119	115	330	3	100
09/02/2015 10:30	90	115	101	306	3	100
09/02/2015 10:35	91	129	120	340	3	100
09/02/2015 10:40	96	144	113	353	3	100
09/02/2015 10:45	99	148	103	350	3	100
09/02/2015 10:50	101	132	102	335	3	100
09/02/2015 10:55	82	112	109	303	3	100
09/02/2015 11:00	85	135	120	340	3	100
09/02/2015 11:05	94	133	98	325	3	100
09/02/2015 11:10	104	119	115	338	3	100
09/02/2015 11:15	108	131	115	354	3	100
09/02/2015 11:20	104	150	121	375	3	100
09/02/2015 11:25	114	142	92	348	3	100
09/02/2015 11:30	93	119	108	320	3	100
09/02/2015 11:35	97	128	113	338	3	100
09/02/2015 11:40	118	155	130	403	3	100
09/02/2015 11:45	83	128	116	327	3	100
09/02/2015 11:50	103	123	116	342	3	100
09/02/2015 11:55	112	143	108	363	3	100
09/02/2015 12:00	68	103	78	249	3	100
09/02/2015 12:05	79	110	93	282	3	100
09/02/2015 12:10	100	121	105	326	3	100
09/02/2015 12:15	118	143	96	357	3	100
09/02/2015 12:20	131	161	110	402	3	100
09/02/2015 12:25	143	166	120	429	3	100
09/02/2015 12:30	153	140	128	421	3	100
09/02/2015 12:35	138	118	99	355	3	100
09/02/2015 12:40	159	146	106	411	3	100
09/02/2015 12:45	147	134	103	384	3	100
09/02/2015 12:50	140	145	119	404	3	100
09/02/2015 12:55	137	121	96	354	3	100
09/02/2015 13:00	142	130	110	382	3	100
09/02/2015 13:05	144	130	97	371	3	100
09/02/2015 13:10	107	114	110	331	3	100
09/02/2015 13:15	124	122	113	359	3	100
09/02/2015 13:20	143	120	99	362	3	100
09/02/2015 13:25	137	132	89	358	3	100
09/02/2015 13:30	128	136	120	384	3	100
09/02/2015 13:35	140	121	97	358	3	100
09/02/2015 13:40	159	139	104	402	3	100
09/02/2015 13:45	108	118	108	334	3	100
09/02/2015 13:50	139	133	108	380	3	100
09/02/2015 13:55	146	139	102	387	3	100
09/02/2015 14:00	141	136	107	384	3	100
09/02/2015 14:05	137	122	102	361	3	100
09/02/2015 14:10	133	138	108	379	3	100
09/02/2015 14:15	135	125	103	363	3	100
09/02/2015 14:20	142	143	117	402	3	100
09/02/2015 14:25	145	135	110	390	3	100
09/02/2015 14:30	148	121	122	391	3	100
09/02/2015 14:35	132	128	108	368	3	100
09/02/2015 14:40	140	130	113	383	3	100
09/02/2015 14:45	135	124	105	364	3	100
09/02/2015 14:50	135	132	109	376	3	100
09/02/2015 14:55	132	120	110	362	3	100
09/02/2015 15:00	143	126	112	381	3	100
09/02/2015 15:05	138	122	103	363	3	100
09/02/2015 15:10	149	132	110	391	3	100
09/02/2015 15:15	141	130	113	384	3	100
09/02/2015 15:20	142	127	97	366	3	100
09/02/2015 15:25	147	131	102	380	3	100
09/02/2015 15:30	121	130	103	354	3	100
09/02/2015 15:35	83	122	110	315	3	100
09/02/2015 15:40	136	120	98	354	3	100
09/02/2015 15:45	144	110	96	350	3	100
09/02/2015 15:50	141	136	117	394	3	100
09/02/2015 15:55	126	109	97	332	3	100
09/02/2015 16:00	124	113	94	331	3	100
09/02/2015 16:05	123	123	107	353	3	100
09/02/2015 16:10	138	136	127	401	3	100
09/02/2015 16:15	138	138	101	377	3	100
09/02/2015 16:20	125	125	107	357	3	100
09/02/2015 16:25	128	112	99	339	3	100
09/02/2015 16:30	131	124	109	364	3	100
09/02/2015 16:35	130	120	112	362	3	100
09/02/2015 16:40	142	129	112	383	3	100
09/02/2015 16:45	100	115	102	317	3	100
09/02/2015 16:50	133	128	118	379	3	100
09/02/2015 16:55	124	116	105	345	3	100
09/02/2015 17:00	113	112	106	331	3	100
09/02/2015 17:05	128	127	102	357	3	100
09/02/2015 17:10	132	121	110	363	3	100
09/02/2015 17:15	136	138	113	387	3	100
09/02/2015 17:20	138	118	103	359	3	100
09/02/2015 17:25	113	102	94	309	3	100
09/02/2015 17:30	106	103	95	304	3	100
09/02/2015 17:35	109	98	99	306	3	100
09/02/2015 17:40	112	114	98	324	3	100
