5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/02/2015 00:00	71.9	69.7	62.7	67.5	3	100
09/02/2015 00:05	72	68.1	61.5	66	3	100
09/02/2015 00:10	71.9	68.9	60.4	66	3	100
09/02/2015 00:15	71.8	69.7	56.6	65.6	3	100
09/02/2015 00:20	71.7	68.6	59.9	65.5	3	100
09/02/2015 00:25	71.6	68.5	60.2	65.8	3	100
09/02/2015 00:30	71.7	69.7	61.5	66.7	3	100
09/02/2015 00:35	71.6	68.2	57.3	64.8	3	100
09/02/2015 00:40	71.4	66.3	59.2	65.2	3	100
09/02/2015 00:45	71.6	68.2	59.5	65.7	3	100
09/02/2015 00:50	72.1	68.6	58.2	64.3	3	100
09/02/2015 00:55	71.9	69.4	58.3	64.8	3	100
09/02/2015 01:00	71.7	69.2	60.7	65.8	3	100
09/02/2015 01:05	71.7	65.4	53.4	60.6	3	100
09/02/2015 01:10	71.5	68.1	60.5	65.8	3	100
09/02/2015 01:15	71.7	69.4	62.8	67.2	3	100
09/02/2015 01:20	72.1	67.9	63.3	66	3	100
09/02/2015 01:25	71.9	69	64	67	3	100
09/02/2015 01:30	71.8	69.8	61.9	66.1	3	100
09/02/2015 01:35	71.7	70.1	59.7	66	3	100
09/02/2015 01:40	71.9	69.6	57.3	63.8	3	100
09/02/2015 01:45	71.9	67.3	53.2	61.3	3	100
09/02/2015 01:50	71.9	68.2	52.5	61.9	3	100
09/02/2015 01:55	71.9	68.3	55.5	64.5	3	100
09/02/2015 02:00	71.8	69	60.5	65.9	3	100
09/02/2015 02:05	71.7	69.4	63.2	66.1	3	100
09/02/2015 02:10	71.8	69.7	64	67.3	3	100
09/02/2015 02:15	71.8	70.4	64.1	68	3	100
09/02/2015 02:20	71.4	69.5	60.9	66	3	100
09/02/2015 02:25	71.6	69.5	61	65.3	3	100
09/02/2015 02:30	71.8	68.8	61.7	66.2	3	100
09/02/2015 02:35	71.9	69.3	63.3	66	3	100
09/02/2015 02:40	72	67.1	60.6	65.6	3	100
09/02/2015 02:45	71.8	68.3	56.9	64.3	3	100
09/02/2015 02:50	72	68.9	57.2	64.8	3	100
09/02/2015 02:55	72	69.2	55.9	62.6	3	100
09/02/2015 03:00	71.9	69.8	60	65.7	3	100
09/02/2015 03:05	71.9	70.1	62.5	66.7	3	100
09/02/2015 03:10	71.7	69.3	62.5	67.5	3	100
09/02/2015 03:15	71.9	69.2	60.3	66.2	3	100
09/02/2015 03:20	71.9	70.2	60.8	67.4	3	100
09/02/2015 03:25	71.9	70.1	60.5	65.2	3	100
09/02/2015 03:30	71.8	70.3	63.2	66.8	3	100
09/02/2015 03:35	72	70.1	59.8	65.4	3	100
09/02/2015 03:40	72	70.4	62.5	66.7	3	100
09/02/2015 03:45	71.9	71.1	64	68.2	3	100
09/02/2015 03:50	71.8	70.4	63.5	67.6	3	100
09/02/2015 03:55	71.7	70.3	60.7	66.7	3	100
09/02/2015 04:00	71.6	70.2	61	67.5	3	100
09/02/2015 04:05	71.6	68	54.7	63.2	3	100
09/02/2015 04:10	71.7	63.9	56.6	62.8	3	100
09/02/2015 04:15	71.6	67.1	59.2	65	3	100
09/02/2015 04:20	71.7	69.1	60.5	66.6	3	100
09/02/2015 04:25	71.8	67.9	61.4	66.3	3	100
09/02/2015 04:30	71.8	68.4	66.4	68	3	100
09/02/2015 04:35	72.1	67.6	63.9	66.9	3	100
09/02/2015 04:40	72.1	69.4	59.6	66.6	3	100
09/02/2015 04:45	72.1	69.3	63	67.7	3	100
09/02/2015 04:50	71.8	67.9	60	66.4	3	100
09/02/2015 04:55	71.8	67	61.6	66.1	3	100
09/02/2015 05:00	71.8	69.4	63.4	67.5	3	100
09/02/2015 05:05	71.9	69.9	61.9	67.5	3	100
09/02/2015 05:10	71.6	69.9	61.4	67.6	3	100
09/02/2015 05:15	72	70.2	55.3	65.9	3	100
09/02/2015 05:20	71.6	70.2	56.7	66.1	3	100
09/02/2015 05:25	70.8	70	58	66.5	3	100
09/02/2015 05:30	71.8	69.6	59.3	66.9	3	100
09/02/2015 05:35	70.9	69.2	60.4	66.7	3	100
09/02/2015 05:40	71.4	69.2	63.1	68	3	100
09/02/2015 05:45	72.2	68.6	62.7	68.1	3	100
09/02/2015 05:50	72.8	69.2	60.3	67.6	3	100
09/02/2015 05:55	71.1	67.6	60.7	66.8	3	100
09/02/2015 06:00	71.3	68.2	58.4	66	3	100
09/02/2015 06:05	71	66.8	57.5	65.2	3	100
09/02/2015 06:10	70.1	66.3	53.9	64.1	3	100
09/02/2015 06:15	68.9	66.8	57.5	64.7	3	100
09/02/2015 06:20	69	66.9	57	65	3	100
09/02/2015 06:25	68.3	65.8	60.3	65.1	3	100
09/02/2015 06:30	67.4	66.7	62.5	65.6	3	100
09/02/2015 06:35	67.1	66.4	62.7	65.6	3	100
09/02/2015 06:40	66.8	65.7	63	65.3	3	100
09/02/2015 06:45	66.9	65.8	62.9	65.4	3	100
09/02/2015 06:50	66.6	66.9	60.4	65	3	100
09/02/2015 06:55	66.6	66.7	60.7	65	3	100
09/02/2015 07:00	67.3	66.6	64	66	3	100
09/02/2015 07:05	67.4	67.2	65.4	66.7	3	100
09/02/2015 07:10	68.4	65.3	65.4	66.4	3	100
09/02/2015 07:15	68.4	65.8	64.2	66.2	3	100
09/02/2015 07:20	67.4	66	64	65.8	3	100
09/02/2015 07:25	67	66.4	65.4	66.3	3	100
09/02/2015 07:30	66.3	64.7	61.8	64.4	3	100
09/02/2015 07:35	65.9	64	61.1	63.8	3	100
09/02/2015 07:40	65.4	64.6	61.2	64	3	100
09/02/2015 07:45	65.2	65.2	60.3	63.8	3	100
09/02/2015 07:50	63.9	62.4	60.5	62.5	3	100
09/02/2015 07:55	65.6	64.7	61.4	64	3	100
09/02/2015 08:00	64.8	51.5	59.8	58.6	3	100
09/02/2015 08:05	65	55.4	60	60.1	3	100
09/02/2015 08:10	66	59.7	61	62.2	3	100
09/02/2015 08:15	66.5	50	62.8	59.4	3	100
09/02/2015 08:20	67.2	57.9	61.4	62.2	3	100
09/02/2015 08:25	66.3	60.6	57.9	61.9	3	100
09/02/2015 08:30	66.6	61.3	58.4	62	3	100
09/02/2015 08:35	66.4	62.2	59.3	62.6	3	100
09/02/2015 08:40	66.1	62.1	58	62.1	3	100
09/02/2015 08:45	66.1	63.3	58.5	62.7	3	100
09/02/2015 08:50	65.9	63.5	58.1	62.5	3	100
09/02/2015 08:55	65.5	63.9	57.4	62.3	3	100
09/02/2015 09:00	65.7	62.5	57.6	61.7	3	100
09/02/2015 09:05	65.4	61.5	57.2	61.3	3	100
09/02/2015 09:10	67.1	63.3	59	62.9	3	100
09/02/2015 09:15	65.7	61.3	53.9	60.1	3	100
09/02/2015 09:20	67.1	62.7	57.3	62.3	3	100
09/02/2015 09:25	66.1	64.5	58.5	62.9	3	100
09/02/2015 09:30	66	63.3	56.1	61.8	3	100
09/02/2015 09:35	65.4	62.1	55.9	61.3	3	100
09/02/2015 09:40	65.2	61.1	52.1	60	3	100
09/02/2015 09:45	65.8	61.3	52.3	59.9	3	100
09/02/2015 09:50	66.5	62.3	53.2	60.9	3	100
09/02/2015 09:55	66.7	63	54.4	61.2	3	100
09/02/2015 10:00	65.4	61.3	51.5	59.4	3	100
09/02/2015 10:05	65.9	61.6	50.7	59.2	3	100
09/02/2015 10:10	65.7	63.5	50.9	59.8	3	100
09/02/2015 10:15	65.3	63	51.4	59.8	3	100
09/02/2015 10:20	65.6	63	51.4	60.2	3	100
09/02/2015 10:25	65.6	63.6	54.1	60.9	3	100
09/02/2015 10:30	65.2	62.2	54.9	60.7	3	100
09/02/2015 10:35	65.2	63	56.7	61.4	3	100
09/02/2015 10:40	65.1	61.3	53.3	59.8	3	100
09/02/2015 10:45	65.3	62.5	51.8	60.1	3	100
09/02/2015 10:50	64.7	62.1	50.2	59.3	3	100
09/02/2015 10:55	65.2	62.2	52.3	59.5	3	100
09/02/2015 11:00	65.4	63.4	54.5	60.8	3	100
09/02/2015 11:05	65.1	62.6	51.8	60.1	3	100
09/02/2015 11:10	66	65.3	54.7	61.9	3	100
09/02/2015 11:15	65.4	65.7	53.6	61.7	3	100
09/02/2015 11:20	66.3	65.4	52.6	61.5	3	100
09/02/2015 11:25	66.1	62.3	51.5	60.7	3	100
09/02/2015 11:30	66.5	64.3	55.1	61.8	3	100
09/02/2015 11:35	66.1	64.7	57	62.5	3	100
09/02/2015 11:40	64.5	63.7	55	61.1	3	100
09/02/2015 11:45	65.1	63.9	54.6	60.9	3	100
09/02/2015 11:50	65.2	65.4	57.6	62.7	3	100
09/02/2015 11:55	65.1	63.9	55.6	61.8	3	100
09/02/2015 12:00	65.8	63	53.7	60.9	3	100
09/02/2015 12:05	65.5	61.5	53.6	60	3	100
09/02/2015 12:10	64	60.5	56.2	60.2	3	100
09/02/2015 12:15	59.1	56.2	42.4	53.4	3	100
09/02/2015 12:20	61.5	59.7	46.4	56.6	3	100
09/02/2015 12:25	60	57.9	47.7	55.7	3	100
09/02/2015 12:30	49	45.1	37.9	44.3	3	100
09/02/2015 12:35	36.3	33.7	26	32.6	3	100
09/02/2015 12:40	29.9	26.8	22.5	26.9	3	100
09/02/2015 12:45	25.8	23.3	20.2	23.4	3	100
09/02/2015 12:50	28.6	26.7	25.4	27	3	100
09/02/2015 12:55	25.1	22.3	20	22.8	3	100
09/02/2015 13:00	23.8	21	19.4	21.6	3	100
09/02/2015 13:05	22.2	20	17.1	20.1	3	100
09/02/2015 13:10	16.5	18.8	18	17.8	3	100
09/02/2015 13:15	16.1	17.8	21.8	18.5	3	100
09/02/2015 13:20	18.1	18.2	19	18.4	3	100
09/02/2015 13:25	22.5	22.9	20.3	22.1	3	100
09/02/2015 13:30	35.9	33.5	30.9	33.5	3	100
09/02/2015 13:35	27.4	26.4	23.3	26	3	100
09/02/2015 13:40	25.6	22.7	21.6	23.6	3	100
09/02/2015 13:45	18.4	19.7	20.4	19.5	3	100
09/02/2015 13:50	18.2	19.4	20.1	19.2	3	100
09/02/2015 13:55	18.9	20.8	17.3	19.2	3	100
09/02/2015 14:00	19.3	20.4	16.5	18.9	3	100
09/02/2015 14:05	18.6	18.5	15.7	17.7	3	100
09/02/2015 14:10	18.1	20	16.7	18.4	3	100
09/02/2015 14:15	17.8	19.2	16.4	17.9	3	100
09/02/2015 14:20	18.7	21	17.9	19.3	3	100
09/02/2015 14:25	18.9	19.8	17.5	18.8	3	100
09/02/2015 14:30	20.2	18.7	21.1	20	3	100
09/02/2015 14:35	18.5	17.6	18.4	18.2	3	100
09/02/2015 14:40	18.6	17.9	17.2	17.9	3	100
09/02/2015 14:45	17.1	17.1	17	17.1	3	100
09/02/2015 14:50	16.8	17.7	16.6	17.1	3	100
09/02/2015 14:55	17.5	17.5	16.9	17.3	3	100
09/02/2015 15:00	18.7	18.6	17.3	18.3	3	100
