5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/02/2015 00:00	0	5.4	34.6	15.1	3	100
09/02/2015 00:05	0	6.5	17.2	9.9	3	100
09/02/2015 00:10	0	0	16.1	6.9	3	100
09/02/2015 00:15	0	0	27.3	9.4	3	100
09/02/2015 00:20	0	4	11.5	6.5	3	100
09/02/2015 00:25	0	0	14.3	5.6	3	100
09/02/2015 00:30	0	0	10.5	4.2	3	100
09/02/2015 00:35	0	3.8	23.8	10.5	3	100
09/02/2015 00:40	0	4.2	11.8	5.7	3	100
09/02/2015 00:45	0	0	20	7.5	3	100
09/02/2015 00:50	0	12.5	40	23.3	3	100
09/02/2015 00:55	0	0	16.7	7.3	3	100
09/02/2015 01:00	0	0	5.9	2.5	3	100
09/02/2015 01:05	0	6.5	29.6	16.1	3	100
09/02/2015 01:10	0	0	0	0	3	100
09/02/2015 01:15	0	0	5.6	2.1	3	100
09/02/2015 01:20	0	29.4	23.5	25	3	100
09/02/2015 01:25	0	0	0	0	3	100
09/02/2015 01:30	0	0	16.7	8.1	3	100
09/02/2015 01:35	0	0	17.6	7.5	3	100
09/02/2015 01:40	0	6.7	35.3	20	3	100
09/02/2015 01:45	0	9.1	35	20	3	100
09/02/2015 01:50	0	6.3	46.7	22.9	3	100
09/02/2015 01:55	0	4.8	33.3	13.5	3	100
09/02/2015 02:00	0	0	0	0	3	100
09/02/2015 02:05	0	0	0	0	3	100
09/02/2015 02:10	0	0	5.9	2.7	3	100
09/02/2015 02:15	0	0	0	0	3	100
09/02/2015 02:20	0	0	13.3	5.9	3	100
09/02/2015 02:25	0	0	17.6	9.1	3	100
09/02/2015 02:30	0	5.9	20	11.1	3	100
09/02/2015 02:35	0	0	6.7	3.8	3	100
09/02/2015 02:40	0	16.7	41.7	22.5	3	100
09/02/2015 02:45	0	0	33.3	13.2	3	100
09/02/2015 02:50	0	9.5	41.2	20.5	3	100
09/02/2015 02:55	0	0	0	0	3	100
09/02/2015 03:00	0	0	7.1	3.2	3	100
09/02/2015 03:05	0	0	0	0	3	100
09/02/2015 03:10	0	0	10	3.1	3	100
09/02/2015 03:15	0	7.1	35.7	17.1	3	100
09/02/2015 03:20	0	0	20	6.4	3	100
09/02/2015 03:25	0	0	20.7	11.1	3	100
09/02/2015 03:30	0	0	8	4.1	3	100
09/02/2015 03:35	0	6.7	40	22	3	100
09/02/2015 03:40	0	0	15.4	7.5	3	100
09/02/2015 03:45	0	0	12.5	5.3	3	100
09/02/2015 03:50	0	0	11.8	4.9	3	100
09/02/2015 03:55	0	0	26.7	10.5	3	100
09/02/2015 04:00	0	0	7.7	2.3	3	100
09/02/2015 04:05	0	3.4	28	12.7	3	100
09/02/2015 04:10	0	12.5	21.1	13.3	3	100
09/02/2015 04:15	0	0	14.3	5.2	3	100
09/02/2015 04:20	0	0	15	5.1	3	100
09/02/2015 04:25	0	5.7	18.5	9.2	3	100
09/02/2015 04:30	0	0	3.3	1.4	3	100
09/02/2015 04:35	0	9.7	21.9	12.8	3	100
09/02/2015 04:40	0	3.5	25	10.2	3	100
09/02/2015 04:45	0	5	13.2	6.8	3	100
09/02/2015 04:50	0	4.8	22.6	9.2	3	100
09/02/2015 04:55	0	6.3	17.1	8.8	3	100
09/02/2015 05:00	0	2	9.5	4.6	3	100
09/02/2015 05:05	0	3.8	14.3	6.8	3	100
09/02/2015 05:10	0	2	14	5.3	3	100
09/02/2015 05:15	0	3.7	28.6	10.7	3	100
09/02/2015 05:20	0	2.5	16.1	6.4	3	100
09/02/2015 05:25	0	2.4	13.8	5.3	3	100
09/02/2015 05:30	0	4.2	16.4	7	3	100
09/02/2015 05:35	0	3.3	12.3	5.5	3	100
09/02/2015 05:40	0	3.7	11.1	4.9	3	100
09/02/2015 05:45	0	5.8	14.7	6.4	3	100
09/02/2015 05:50	0	4.7	18.8	7.6	3	100
09/02/2015 05:55	0	4.7	12.3	5.3	3	100
09/02/2015 06:00	0	4.2	16.3	6.8	3	100
09/02/2015 06:05	0	5.9	15.4	7.1	3	100
09/02/2015 06:10	0	4.5	20.7	7.6	3	100
09/02/2015 06:15	0	3.1	9.6	4	3	100
09/02/2015 06:20	0	4	14.3	5.3	3	100
09/02/2015 06:25	0	4.2	7.1	3.6	3	100
09/02/2015 06:30	0	1.9	6.3	2.6	3	100
09/02/2015 06:35	0	2.9	7.6	3.2	3	100
09/02/2015 06:40	0	3.8	7.1	3.5	3	100
09/02/2015 06:45	0	3.1	7.8	3.3	3	100
09/02/2015 06:50	0	1.8	11.1	3.7	3	100
09/02/2015 06:55	0	2.6	8.5	3.4	3	100
09/02/2015 07:00	0	3.4	5.4	2.9	3	100
09/02/2015 07:05	0	2.4	5.2	2.5	3	100
09/02/2015 07:10	0	6.3	7	4.4	3	100
09/02/2015 07:15	0	3.8	8.6	3.8	3	100
09/02/2015 07:20	0	3	6.6	3.2	3	100
09/02/2015 07:25	0	2.5	4.9	2.4	3	100
09/02/2015 07:30	0	4.1	9.9	4.3	3	100
09/02/2015 07:35	0	3.8	8	3.7	3	100
09/02/2015 07:40	0	2.5	7.3	2.9	3	100
