5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 00:00	1	5	6	2	100
09/02/2015 00:05	4	6	10	2	100
09/02/2015 00:10	0	10	10	2	100
09/02/2015 00:15	5	8	13	2	100
09/02/2015 00:20	0	4	4	2	100
09/02/2015 00:25	0	4	4	2	100
09/02/2015 00:30	1	4	5	2	100
09/02/2015 00:35	1	4	5	2	100
09/02/2015 00:40	0	7	7	2	100
09/02/2015 00:45	0	6	6	2	100
09/02/2015 00:50	0	1	1	2	100
09/02/2015 00:55	1	2	3	2	100
09/02/2015 01:00	0	5	5	2	100
09/02/2015 01:05	1	7	8	2	100
09/02/2015 01:10	2	5	7	2	100
09/02/2015 01:15	0	2	2	2	100
09/02/2015 01:20	0	4	4	2	100
09/02/2015 01:25	1	2	3	2	100
09/02/2015 01:30	1	5	6	2	100
09/02/2015 01:35	0	3	3	2	100
09/02/2015 01:40	1	2	3	2	100
09/02/2015 01:45	0	1	1	2	100
09/02/2015 01:50	1	2	3	2	100
09/02/2015 01:55	0	0	0	2	100
09/02/2015 02:00	0	4	4	2	100
09/02/2015 02:05	1	4	5	2	100
09/02/2015 02:10	0	0	0	2	100
09/02/2015 02:15	0	3	3	2	100
09/02/2015 02:20	0	2	2	2	100
09/02/2015 02:25	0	2	2	2	100
09/02/2015 02:30	0	2	2	2	100
09/02/2015 02:35	0	1	1	2	100
09/02/2015 02:40	0	2	2	2	100
09/02/2015 02:45	0	1	1	2	100
09/02/2015 02:50	1	1	2	2	100
09/02/2015 02:55	0	2	2	2	100
09/02/2015 03:00	0	2	2	2	100
09/02/2015 03:05	0	2	2	2	100
09/02/2015 03:10	0	1	1	2	100
09/02/2015 03:15	0	0	0	2	100
09/02/2015 03:20	0	1	1	2	100
09/02/2015 03:25	1	1	2	2	100
09/02/2015 03:30	2	0	2	2	100
09/02/2015 03:35	1	2	3	2	100
09/02/2015 03:40	0	2	2	2	100
09/02/2015 03:45	0	4	4	2	100
09/02/2015 03:50	0	1	1	2	100
09/02/2015 03:55	0	3	3	2	100
09/02/2015 04:00	0	5	5	2	100
09/02/2015 04:05	0	3	3	2	100
09/02/2015 04:10	0	0	0	2	100
09/02/2015 04:15	0	2	2	2	100
09/02/2015 04:20	0	3	3	2	100
09/02/2015 04:25	0	2	2	2	100
09/02/2015 04:30	1	3	4	2	100
09/02/2015 04:35	1	3	4	2	100
09/02/2015 04:40	1	7	8	2	100
09/02/2015 04:45	0	2	2	2	100
09/02/2015 04:50	1	3	4	2	100
09/02/2015 04:55	0	4	4	2	100
09/02/2015 05:00	0	7	7	2	100
09/02/2015 05:05	0	5	5	2	100
09/02/2015 05:10	1	8	9	2	100
09/02/2015 05:15	2	3	5	2	100
09/02/2015 05:20	0	5	5	2	100
09/02/2015 05:25	1	6	7	2	100
09/02/2015 05:30	1	10	11	2	100
09/02/2015 05:35	2	6	8	2	100
09/02/2015 05:40	4	9	13	2	100
09/02/2015 05:45	2	9	11	2	100
09/02/2015 05:50	1	11	12	2	100
09/02/2015 05:55	3	7	10	2	100
09/02/2015 06:00	1	9	10	2	100
09/02/2015 06:05	1	13	14	2	100
09/02/2015 06:10	3	9	12	2	100
09/02/2015 06:15	4	9	13	2	100
09/02/2015 06:20	6	13	19	2	100
09/02/2015 06:25	1	7	8	2	100
09/02/2015 06:30	3	13	16	2	100
09/02/2015 06:35	5	9	14	2	100
09/02/2015 06:40	8	15	23	2	100
09/02/2015 06:45	9	15	24	2	100
09/02/2015 06:50	6	12	18	2	100
09/02/2015 06:55	7	13	20	2	100
09/02/2015 07:00	11	21	32	2	100
09/02/2015 07:05	12	15	27	2	100
09/02/2015 07:10	10	17	27	2	100
09/02/2015 07:15	8	16	24	2	100
09/02/2015 07:20	8	15	23	2	100
09/02/2015 07:25	9	17	26	2	100
