5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	31	33	25	56	8	153	5	80
09/03/2015 00:05	35	46	32	57	6	176	5	80
09/03/2015 00:10	26	29	25	68	5	153	5	80
09/03/2015 00:15	20	35	36	28	5	124	5	80
09/03/2015 00:20	24	34	33	29	5	125	5	80
09/03/2015 00:25	19	30	26	28	4	107	5	80
09/03/2015 00:30	12	28	21	22	6	89	5	80
09/03/2015 00:35	19	35	22	27	2	105	5	80
09/03/2015 00:40	20	27	27	25	4	103	5	80
09/03/2015 00:45	10	21	19	19	5	74	5	80
09/03/2015 00:50	15	19	22	34	2	92	5	80
09/03/2015 00:55	13	24	17	26	2	82	5	80
09/03/2015 01:00	16	24	23	28	3	94	5	80
09/03/2015 01:05	22	18	22	31	3	96	5	80
09/03/2015 01:10	8	11	15	47	4	85	5	80
09/03/2015 01:15	18	19	24	83	2	146	5	80
09/03/2015 01:20	17	21	22	85	3	148	5	80
09/03/2015 01:25	15	18	23	93	0	149	5	80
09/03/2015 01:30	31	12	12	90	1	146	5	80
09/03/2015 01:35	17	22	17	87	3	146	5	80
09/03/2015 01:40	14	11	16	88	3	132	5	80
09/03/2015 01:45	11	14	16	89	0	130	5	80
09/03/2015 01:50	17	23	23	87	2	152	5	80
09/03/2015 01:55	25	10	15	83	3	136	5	80
09/03/2015 02:00	29	15	10	74	4	132	5	80
09/03/2015 02:05	32	23	14	70	3	142	5	80
09/03/2015 02:10	8	10	19	81	1	119	5	80
09/03/2015 02:15	28	14	11	60	3	116	5	80
09/03/2015 02:20	35	12	10	55	2	114	5	80
09/03/2015 02:25	16	12	19	49	1	97	5	80
09/03/2015 02:30	13	15	16	58	0	102	5	80
09/03/2015 02:35	12	15	19	54	2	102	5	80
09/03/2015 02:40	11	15	20	59	1	106	5	80
09/03/2015 02:45	19	15	15	61	0	110	5	80
09/03/2015 02:50	23	12	13	55	0	103	5	80
09/03/2015 02:55	12	20	15	55	0	102	5	80
09/03/2015 03:00	18	14	15	54	2	103	5	80
09/03/2015 03:05	28	13	10	37	0	88	5	80
09/03/2015 03:10	17	13	17	44	2	93	5	80
09/03/2015 03:15	13	12	21	50	1	97	5	80
09/03/2015 03:20	14	21	15	38	0	88	5	80
09/03/2015 03:25	17	25	22	34	0	98	5	80
09/03/2015 03:30	13	16	20	44	0	93	5	80
09/03/2015 03:35	12	16	18	37	1	84	5	80
09/03/2015 03:40	5	16	20	16	3	60	5	80
09/03/2015 03:45	17	28	27	26	2	100	5	80
09/03/2015 03:50	12	22	26	22	2	84	5	80
09/03/2015 03:55	12	26	25	23	1	87	5	80
09/03/2015 04:00	16	18	11	20	0	65	5	80
09/03/2015 04:05	13	14	22	27	3	79	5	80
09/03/2015 04:10	15	24	24	26	2	91	5	80
09/03/2015 04:15	17	25	26	30	1	99	5	80
09/03/2015 04:20	27	36	25	45	2	135	5	80
09/03/2015 04:25	20	30	30	27	0	107	5	80
09/03/2015 04:30	18	27	28	23	7	103	5	80
09/03/2015 04:35	25	41	28	29	2	125	5	80
09/03/2015 04:40	25	39	39	24	1	128	5	80
09/03/2015 04:45	34	51	41	37	5	168	5	80
09/03/2015 04:50	26	46	29	34	1	136	5	80
09/03/2015 04:55	32	42	33	34	3	144	5	80
09/03/2015 05:00	25	51	30	19	5	130	5	80
09/03/2015 05:05	29	50	40	23	6	148	5	80
09/03/2015 05:10	39	66	46	15	6	172	5	80
09/03/2015 05:15	35	78	49	19	2	183	5	80
09/03/2015 05:20	35	78	45	20	3	181	5	80
09/03/2015 05:25	49	76	65	16	6	212	5	80
09/03/2015 05:30	54	86	66	29	9	244	5	80
09/03/2015 05:35	52	99	63	26	8	248	5	80
09/03/2015 05:40	64	92	80	25	7	268	5	80
09/03/2015 05:45	73	125	84	28	12	322	5	80
09/03/2015 05:50	66	134	83	25	9	317	5	80
09/03/2015 05:55	59	121	72	31	9	292	5	80
09/03/2015 06:00	55	102	73	18	5	253	5	80
09/03/2015 06:05	67	118	69	24	15	293	5	80
09/03/2015 06:10	90	136	109	17	11	363	5	80
09/03/2015 06:15	75	150	94	22	11	352	5	80
09/03/2015 06:20	78	143	96	21	9	347	5	80
09/03/2015 06:25	90	159	108	19	9	385	5	80
09/03/2015 06:30	105	158	122	28	10	423	5	80
09/03/2015 06:35	101	151	122	38	12	424	5	80
09/03/2015 06:40	108	171	127	27	11	444	5	80
09/03/2015 06:45	116	164	134	29	12	455	5	80
09/03/2015 06:50	105	151	124	23	12	415	5	80
09/03/2015 06:55	115	152	135	28	12	442	5	80
09/03/2015 07:00	103	149	122	23	16	413	5	80
09/03/2015 07:05	103	146	121	22	21	413	5	80
09/03/2015 07:10	106	162	117	36	14	435	5	80
