5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/03/2015 00:00	71	74	72	79.2	64.5	74.5	5	80
09/03/2015 00:05	70.6	73.6	70.9	79.2	64.5	74	5	80
09/03/2015 00:10	71.8	74.6	71.7	79.2	64.5	75.4	5	80
09/03/2015 00:15	66.5	74.3	73.4	50.5	64.5	67	5	80
09/03/2015 00:20	63.3	75.7	74.3	34.9	64.5	63	5	80
09/03/2015 00:25	64.5	74.2	73.4	24.8	64.5	59	5	80
09/03/2015 00:30	67.4	74.1	72.4	20.5	64.5	58.9	5	80
09/03/2015 00:35	64.5	73.3	69.3	20.4	64.5	57.1	5	80
09/03/2015 00:40	62.6	74.4	75	20.7	64.5	58.8	5	80
09/03/2015 00:45	67.2	73.4	75.8	19.3	64.5	58.7	5	80
09/03/2015 00:50	67.9	73.8	74.3	26.6	64.5	55.3	5	80
09/03/2015 00:55	67.2	74.3	73.2	24	64.5	56.8	5	80
09/03/2015 01:00	62.2	74	73.3	19	64.4	55.1	5	80
09/03/2015 01:05	62.9	74.5	74.5	20.6	64.4	54.1	5	80
09/03/2015 01:10	65.8	74.5	74.8	60.4	64.4	65.5	5	80
09/03/2015 01:15	72	74.6	79.1	79.2	64.4	77.5	5	80
09/03/2015 01:20	71.8	74.6	74.3	79.2	64.4	76.7	5	80
09/03/2015 01:25	72	74.6	72.5	79.2	64.4	76.9	5	80
09/03/2015 01:30	57.9	74.6	57.6	79.2	64.5	72.4	5	80
09/03/2015 01:35	64.2	74.7	64.3	79.2	64.4	74.7	5	80
09/03/2015 01:40	68.6	74.5	68.3	79.2	64.4	76	5	80
09/03/2015 01:45	67.9	74	66	79.2	64.4	76.1	5	80
09/03/2015 01:50	64.1	74.8	66.7	79.2	64.4	74.8	5	80
09/03/2015 01:55	66.9	74	70.1	79.2	64.4	75.2	5	80
09/03/2015 02:00	65.7	72.7	69.5	79.2	64.4	74.3	5	80
09/03/2015 02:05	64.9	72.5	67.2	79.2	64.4	73.4	5	80
09/03/2015 02:10	66.1	72.6	70.8	79.2	64.3	76.3	5	80
09/03/2015 02:15	66.6	73.4	69.9	79.2	64.4	74.2	5	80
09/03/2015 02:20	68.1	73.7	69.1	79.2	64.4	74.1	5	80
09/03/2015 02:25	68.7	73.9	67.6	79.2	64.5	74.4	5	80
09/03/2015 02:30	64	73.4	67	79.2	64.5	74.5	5	80
09/03/2015 02:35	64	73.8	67	79.2	64.4	74	5	80
09/03/2015 02:40	66.7	74	69.6	79.2	64.5	75.2	5	80
09/03/2015 02:45	65.4	74.2	69.1	79.2	64.5	74.8	5	80
09/03/2015 02:50	66.8	74.3	70.9	79.2	64.5	74.8	5	80
09/03/2015 02:55	67.1	73.6	66.5	79.2	64.5	74.8	5	80
09/03/2015 03:00	67.3	73.3	66.1	79.2	64.5	74.1	5	80
09/03/2015 03:05	65.3	73.1	68.6	79.2	64.5	72.7	5	80
09/03/2015 03:10	66.9	73.7	70	79.2	64.4	74.2	5	80
09/03/2015 03:15	62.8	73.4	65	79.2	64.5	73.1	5	80
09/03/2015 03:20	64.9	74.3	68.1	79.2	64.5	73.9	5	80
09/03/2015 03:25	66.7	72.4	70.2	79.2	64.5	73.3	5	80
09/03/2015 03:30	68	72.7	70.3	79.2	64.5	74.6	5	80
09/03/2015 03:35	66.5	73.6	71.2	79.2	64.6	74.4	5	80
09/03/2015 03:40	63.4	74.1	75.7	51	64.6	67.1	5	80
09/03/2015 03:45	70.9	74.7	79.4	37.6	64.5	65.5	5	80
09/03/2015 03:50	62	74.7	72.7	31.7	64.5	60.8	5	80
09/03/2015 03:55	63	74	76.3	36.1	64.6	63	5	80
09/03/2015 04:00	66.8	73.9	72.1	36	64.6	60.2	5	80
09/03/2015 04:05	70.6	73.5	71.6	75.3	64.6	72.8	5	80
09/03/2015 04:10	62.2	74.1	68.4	49.7	64.5	63.4	5	80
09/03/2015 04:15	68.1	72.4	73.9	79.2	64.6	74	5	80
09/03/2015 04:20	61.2	71.8	61.9	60.3	64.5	63.9	5	80
09/03/2015 04:25	60.8	72.1	62.8	52.2	64.5	62.4	5	80
09/03/2015 04:30	63.5	72.2	67.6	50.4	64.5	64	5	80
09/03/2015 04:35	60	74.3	70.8	49.5	64.5	64.7	5	80
09/03/2015 04:40	65.5	73.2	78.4	43.7	64.6	67.7	5	80
09/03/2015 04:45	67.1	70.4	74.4	48.1	64.5	65.6	5	80
