5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	4	4	1	100
09/03/2015 00:05	7	7	1	100
09/03/2015 00:10	2	2	1	100
09/03/2015 00:15	2	2	1	100
09/03/2015 00:20	2	2	1	100
09/03/2015 00:25	1	1	1	100
09/03/2015 00:30	1	1	1	100
09/03/2015 00:35	2	2	1	100
09/03/2015 00:40	6	6	1	100
09/03/2015 00:45	2	2	1	100
09/03/2015 00:50	4	4	1	100
09/03/2015 00:55	2	2	1	100
09/03/2015 01:00	2	2	1	100
09/03/2015 01:05	2	2	1	100
09/03/2015 01:10	5	5	1	100
09/03/2015 01:15	2	2	1	100
09/03/2015 01:20	7	7	1	100
09/03/2015 01:25	1	1	1	100
09/03/2015 01:30	3	3	1	100
09/03/2015 01:35	6	6	1	100
09/03/2015 01:40	3	3	1	100
09/03/2015 01:45	1	1	1	100
09/03/2015 01:50	2	2	1	100
09/03/2015 01:55	0	0	1	100
09/03/2015 02:00	3	3	1	100
09/03/2015 02:05	2	2	1	100
09/03/2015 02:10	3	3	1	100
09/03/2015 02:15	2	2	1	100
09/03/2015 02:20	0	0	1	100
09/03/2015 02:25	1	1	1	100
09/03/2015 02:30	2	2	1	100
09/03/2015 02:35	2	2	1	100
09/03/2015 02:40	1	1	1	100
09/03/2015 02:45	1	1	1	100
09/03/2015 02:50	4	4	1	100
09/03/2015 02:55	2	2	1	100
09/03/2015 03:00	1	1	1	100
09/03/2015 03:05	1	1	1	100
09/03/2015 03:10	0	0	1	100
09/03/2015 03:15	1	1	1	100
09/03/2015 03:20	1	1	1	100
09/03/2015 03:25	3	3	1	100
09/03/2015 03:30	0	0	1	100
09/03/2015 03:35	3	3	1	100
09/03/2015 03:40	1	1	1	100
09/03/2015 03:45	2	2	1	100
09/03/2015 03:50	3	3	1	100
09/03/2015 03:55	0	0	1	100
09/03/2015 04:00	4	4	1	100
09/03/2015 04:05	1	1	1	100
09/03/2015 04:10	2	2	1	100
09/03/2015 04:15	6	6	1	100
09/03/2015 04:20	2	2	1	100
09/03/2015 04:25	2	2	1	100
09/03/2015 04:30	1	1	1	100
09/03/2015 04:35	3	3	1	100
09/03/2015 04:40	3	3	1	100
09/03/2015 04:45	2	2	1	100
09/03/2015 04:50	1	1	1	100
09/03/2015 04:55	4	4	1	100
09/03/2015 05:00	3	3	1	100
09/03/2015 05:05	1	1	1	100
09/03/2015 05:10	3	3	1	100
09/03/2015 05:15	4	4	1	100
09/03/2015 05:20	4	4	1	100
09/03/2015 05:25	5	5	1	100
09/03/2015 05:30	2	2	1	100
09/03/2015 05:35	4	4	1	100
09/03/2015 05:40	2	2	1	100
09/03/2015 05:45	7	7	1	100
09/03/2015 05:50	8	8	1	100
09/03/2015 05:55	5	5	1	100
09/03/2015 06:00	14	14	1	100
09/03/2015 06:05	12	12	1	100
09/03/2015 06:10	13	13	1	100
09/03/2015 06:15	8	8	1	100
09/03/2015 06:20	9	9	1	100
09/03/2015 06:25	11	11	1	100
09/03/2015 06:30	8	8	1	100
09/03/2015 06:35	19	19	1	100
09/03/2015 06:40	13	13	1	100
09/03/2015 06:45	16	16	1	100
09/03/2015 06:50	13	13	1	100
09/03/2015 06:55	17	17	1	100
09/03/2015 07:00	24	24	1	100
09/03/2015 07:05	24	24	1	100
09/03/2015 07:10	23	23	1	100
09/03/2015 07:15	19	19	1	100
09/03/2015 07:20	17	17	1	100
09/03/2015 07:25	17	17	1	100
09/03/2015 07:30	16	16	1	100
09/03/2015 07:35	29	29	1	100
09/03/2015 07:40	26	26	1	100
09/03/2015 07:45	27	27	1	100
09/03/2015 07:50	30	30	1	100
09/03/2015 07:55	21	21	1	100
09/03/2015 08:00	18	18	1	100
09/03/2015 08:05	24	24	1	100
09/03/2015 08:10	27	27	1	100
09/03/2015 08:15	21	21	1	100
09/03/2015 08:20	17	17	1	100
09/03/2015 08:25	20	20	1	100
09/03/2015 08:30	21	21	1	100
09/03/2015 08:35	33	33	1	100
09/03/2015 08:40	22	22	1	100
09/03/2015 08:45	17	17	1	100
09/03/2015 08:50	22	22	1	100
09/03/2015 08:55	18	18	1	100
09/03/2015 09:00	17	17	1	100
09/03/2015 09:05	19	19	1	100
09/03/2015 09:10	18	18	1	100
09/03/2015 09:15	24	24	1	100
09/03/2015 09:20	13	13	1	100
09/03/2015 09:25	31	31	1	100
09/03/2015 09:30	17	17	1	100
09/03/2015 09:35	18	18	1	100
09/03/2015 09:40	21	21	1	100
09/03/2015 09:45	23	23	1	100
09/03/2015 09:50	21	21	1	100
09/03/2015 09:55	18	18	1	100
09/03/2015 10:00	27	27	1	100
09/03/2015 10:05	23	23	1	100
09/03/2015 10:10	23	23	1	100
09/03/2015 10:15	39	39	1	100
09/03/2015 10:20	29	29	1	100
09/03/2015 10:25	22	22	1	100
09/03/2015 10:30	23	23	1	100
09/03/2015 10:35	24	24	1	100
09/03/2015 10:40	43	43	1	100
09/03/2015 10:45	37	37	1	100
09/03/2015 10:50	32	32	1	100
09/03/2015 10:55	47	47	1	100
09/03/2015 11:00	36	36	1	100
09/03/2015 11:05	28	28	1	100
09/03/2015 11:10	31	31	1	100
09/03/2015 11:15	42	42	1	100
09/03/2015 11:20	30	30	1	100
09/03/2015 11:25	35	35	1	100
09/03/2015 11:30	41	41	1	100
09/03/2015 11:35	40	40	1	100
09/03/2015 11:40	33	33	1	100
09/03/2015 11:45	25	25	1	100
09/03/2015 11:50	44	44	1	100
09/03/2015 11:55	33	33	1	100
09/03/2015 12:00	64	64	1	100
09/03/2015 12:05	38	38	1	100
09/03/2015 12:10	46	46	1	100
09/03/2015 12:15	50	50	1	100
09/03/2015 12:20	45	45	1	100
09/03/2015 12:25	42	42	1	100
09/03/2015 12:30	45	45	1	100
09/03/2015 12:35	47	47	1	100
09/03/2015 12:40	50	50	1	100
09/03/2015 12:45	51	51	1	100
09/03/2015 12:50	39	39	1	100
09/03/2015 12:55	47	47	1	100
09/03/2015 13:00	42	42	1	100
09/03/2015 13:05	50	50	1	100
09/03/2015 13:10	46	46	1	100
09/03/2015 13:15	40	40	1	100
09/03/2015 13:20	48	48	1	100
09/03/2015 13:25	33	33	1	100
09/03/2015 13:30	39	39	1	100
09/03/2015 13:35	37	37	1	100
09/03/2015 13:40	34	34	1	100
09/03/2015 13:45	36	36	1	100
09/03/2015 13:50	37	37	1	100
09/03/2015 13:55	44	44	1	100
09/03/2015 14:00	28	28	1	100
09/03/2015 14:05	34	34	1	100
09/03/2015 14:10	42	42	1	100
09/03/2015 14:15	41	41	1	100
09/03/2015 14:20	32	32	1	100
09/03/2015 14:25	32	32	1	100
09/03/2015 14:30	38	38	1	100
09/03/2015 14:35	43	43	1	100
09/03/2015 14:40	46	46	1	100
09/03/2015 14:45	42	42	1	100
09/03/2015 14:50	45	45	1	100
09/03/2015 14:55	34	34	1	100
09/03/2015 15:00	35	35	1	100
09/03/2015 15:05	31	31	1	100
09/03/2015 15:10	33	33	1	100
09/03/2015 15:15	35	35	1	100
09/03/2015 15:20	44	44	1	100
09/03/2015 15:25	35	35	1	100
09/03/2015 15:30	40	40	1	100
09/03/2015 15:35	46	46	1	100
09/03/2015 15:40	40	40	1	100
09/03/2015 15:45	43	43	1	100
09/03/2015 15:50	44	44	1	100
09/03/2015 15:55	44	44	1	100
09/03/2015 16:00	44	44	1	100
09/03/2015 16:05	43	43	1	100
09/03/2015 16:10	45	45	1	100
09/03/2015 16:15	42	42	1	100
09/03/2015 16:20	39	39	1	100
09/03/2015 16:25	36	36	1	100
09/03/2015 16:30	39	39	1	100
09/03/2015 16:35	43	43	1	100
09/03/2015 16:40	45	45	1	100
09/03/2015 16:45	45	45	1	100
09/03/2015 16:50	42	42	1	100
09/03/2015 16:55	46	46	1	100
09/03/2015 17:00	45	45	1	100
09/03/2015 17:05	47	47	1	100
09/03/2015 17:10	46	46	1	100
