5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	12	34	26	72	3	100
09/03/2015 00:05	13	40	34	87	3	100
09/03/2015 00:10	12	30	26	68	3	100
09/03/2015 00:15	12	34	33	79	3	100
09/03/2015 00:20	12	31	30	73	3	100
09/03/2015 00:25	9	33	26	68	3	100
09/03/2015 00:30	12	27	20	59	3	100
09/03/2015 00:35	10	35	22	67	3	100
09/03/2015 00:40	8	29	27	64	3	100
09/03/2015 00:45	6	20	21	47	3	100
09/03/2015 00:50	7	21	20	48	3	100
09/03/2015 00:55	6	22	17	45	3	100
09/03/2015 01:00	9	22	23	54	3	100
09/03/2015 01:05	10	21	22	53	3	100
09/03/2015 01:10	8	11	15	34	3	100
09/03/2015 01:15	8	21	23	52	3	100
09/03/2015 01:20	6	23	19	48	3	100
09/03/2015 01:25	7	18	24	49	3	100
09/03/2015 01:30	4	13	11	28	3	100
09/03/2015 01:35	3	22	17	42	3	100
09/03/2015 01:40	7	11	14	32	3	100
09/03/2015 01:45	6	14	16	36	3	100
09/03/2015 01:50	4	21	22	47	3	100
09/03/2015 01:55	1	10	12	23	3	100
09/03/2015 02:00	3	13	11	27	3	100
09/03/2015 02:05	3	24	12	39	3	100
09/03/2015 02:10	3	10	18	31	3	100
09/03/2015 02:15	2	15	12	29	3	100
09/03/2015 02:20	4	13	11	28	3	100
09/03/2015 02:25	6	13	17	36	3	100
09/03/2015 02:30	7	18	15	40	3	100
09/03/2015 02:35	1	16	19	36	3	100
09/03/2015 02:40	2	14	18	34	3	100
09/03/2015 02:45	2	16	16	34	3	100
09/03/2015 02:50	5	15	12	32	3	100
09/03/2015 02:55	1	20	15	36	3	100
09/03/2015 03:00	9	15	13	37	3	100
09/03/2015 03:05	4	14	10	28	3	100
09/03/2015 03:10	1	14	16	31	3	100
09/03/2015 03:15	4	14	21	39	3	100
09/03/2015 03:20	2	23	17	42	3	100
09/03/2015 03:25	5	24	23	52	3	100
09/03/2015 03:30	8	18	19	45	3	100
09/03/2015 03:35	5	17	18	40	3	100
09/03/2015 03:40	7	16	20	43	3	100
09/03/2015 03:45	5	25	31	61	3	100
