5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/03/2015 00:00	71.9	69.7	62.7	67.5	3	100
09/03/2015 00:05	71.8	70.3	60.5	66.7	3	100
09/03/2015 00:10	71.7	70.9	60.5	67.1	3	100
09/03/2015 00:15	71.8	69.8	60.2	66.1	3	100
09/03/2015 00:20	71.6	70.8	64	68.1	3	100
09/03/2015 00:25	71.6	68.4	62.7	66.6	3	100
09/03/2015 00:30	71.5	69.7	61.9	67.4	3	100
09/03/2015 00:35	71.8	68.2	58.1	65.4	3	100
09/03/2015 00:40	72	69.6	62.5	66.9	3	100
09/03/2015 00:45	72	68.6	63.8	66.9	3	100
09/03/2015 00:50	71.9	69.2	63.3	67.1	3	100
09/03/2015 00:55	72.1	69.1	62.1	66.9	3	100
09/03/2015 01:00	72	69	62.2	66.6	3	100
09/03/2015 01:05	72.2	69.8	63.4	67.6	3	100
09/03/2015 01:10	72	70	63.9	67.8	3	100
09/03/2015 01:15	71.9	70.6	66.7	69.1	3	100
09/03/2015 01:20	72	70.2	64.6	68.2	3	100
09/03/2015 01:25	72.1	70.4	63.7	67.4	3	100
09/03/2015 01:30	71.8	70.3	54.1	64.1	3	100
09/03/2015 01:35	71.8	70.7	56.5	65	3	100
09/03/2015 01:40	71.7	70.3	59.9	66.1	3	100
09/03/2015 01:45	71.6	69.7	58.6	65.1	3	100
09/03/2015 01:50	71.8	70	60.2	65.6	3	100
09/03/2015 01:55	71.8	69.4	61.7	65.5	3	100
09/03/2015 02:00	71.7	68.1	60.4	65.4	3	100
09/03/2015 02:05	71.8	67.5	61.1	65.9	3	100
09/03/2015 02:10	71.7	67.9	61.3	64.4	3	100
09/03/2015 02:15	71.7	69	61.3	66	3	100
09/03/2015 02:20	71.7	69.4	60.9	66.4	3	100
09/03/2015 02:25	71.7	69.5	60.2	65.5	3	100
09/03/2015 02:30	71.8	68.9	59.7	66	3	100
09/03/2015 02:35	71.7	68.8	59.6	64	3	100
09/03/2015 02:40	71.9	69.6	61.9	65.7	3	100
09/03/2015 02:45	72.1	69.5	60	65.2	3	100
09/03/2015 02:50	72	69.7	60.9	66.8	3	100
09/03/2015 02:55	71.9	68.8	59	64.8	3	100
09/03/2015 03:00	71.9	68.5	59.2	66.1	3	100
09/03/2015 03:05	71.9	68.8	60.3	66.2	3	100
09/03/2015 03:10	71.8	69	61.7	65.3	3	100
09/03/2015 03:15	71.9	68.6	59.6	64.1	3	100
09/03/2015 03:20	72	69.9	60.1	66	3	100
09/03/2015 03:25	71.9	69.5	61.2	66.1	3	100
09/03/2015 03:30	71.8	68.9	60.3	65.8	3	100
09/03/2015 03:35	71.8	69.5	60.5	65.7	3	100
09/03/2015 03:40	71.9	70.2	64.1	67.6	3	100
09/03/2015 03:45	72	70.6	67	68.9	3	100
09/03/2015 03:50	72	70.3	61.7	66.1	3	100
09/03/2015 03:55	72	68.7	62	65.9	3	100
09/03/2015 04:00	71.9	69.7	60.8	67.9	3	100
09/03/2015 04:05	71.7	68.8	61	64.5	3	100
09/03/2015 04:10	71.9	69.7	62	66.7	3	100
09/03/2015 04:15	71.9	68.1	63.8	67.1	3	100
09/03/2015 04:20	71.8	68.2	56.3	65.1	3	100
09/03/2015 04:25	71.8	69.3	55.6	64.1	3	100
09/03/2015 04:30	71.9	69.3	56.5	64.8	3	100
09/03/2015 04:35	72	71.5	58.2	67.5	3	100
09/03/2015 04:40	72.1	69.9	68.3	69.7	3	100
09/03/2015 04:45	72.1	66.4	64.5	66.5	3	100
09/03/2015 04:50	72.3	71.4	55.7	67.2	3	100
09/03/2015 04:55	72.9	68.6	65.7	68.7	3	100
09/03/2015 05:00	72.8	68.9	55	65.3	3	100
09/03/2015 05:05	72.3	72	50.3	64.2	3	100
09/03/2015 05:10	72	71.8	55.2	66.2	3	100
09/03/2015 05:15	72.4	70.4	55.4	66.3	3	100
09/03/2015 05:20	71.2	67.2	52.1	64.1	3	100
09/03/2015 05:25	71.2	69.3	53.6	63.7	3	100
09/03/2015 05:30	72.4	69.5	59.7	66.7	3	100
09/03/2015 05:35	71	68.5	56.8	65.8	3	100
09/03/2015 05:40	72	70.4	61	67.5	3	100
09/03/2015 05:45	72	71.1	62.6	68.8	3	100
09/03/2015 05:50	71.4	71.4	63.5	69.1	3	100
09/03/2015 05:55	71	70.3	62.7	68.4	3	100
09/03/2015 06:00	71	69	65	68.4	3	100
09/03/2015 06:05	70.1	67.6	58.1	65.8	3	100
09/03/2015 06:10	70	66.9	58.6	65.3	3	100
09/03/2015 06:15	70.2	68.2	60.2	66.8	3	100
09/03/2015 06:20	69.8	68.3	60.2	66.6	3	100
09/03/2015 06:25	69.3	67.9	58.4	65.7	3	100
09/03/2015 06:30	69.2	68.5	62.1	66.9	3	100
09/03/2015 06:35	68.8	68.8	63.1	67.1	3	100
09/03/2015 06:40	67.6	67.5	64	66.6	3	100
09/03/2015 06:45	68.1	54.1	62.6	61.4	3	100
09/03/2015 06:50	67.7	61.2	61.5	63.5	3	100
09/03/2015 06:55	67.2	63.7	61.3	64.2	3	100
09/03/2015 07:00	67.3	66.2	62.4	65.5	3	100
09/03/2015 07:05	68.4	67.1	64.3	66.6	3	100
09/03/2015 07:10	67.2	67.5	62.9	66	3	100
09/03/2015 07:15	67.3	67.8	62.2	66.1	3	100
09/03/2015 07:20	66.7	67.4	60.9	65.2	3	100
09/03/2015 07:25	65.7	66.7	61.8	65	3	100
09/03/2015 07:30	63.6	64.7	58.6	62.5	3	100
09/03/2015 07:35	64.2	63.2	60.3	62.7	3	100
09/03/2015 07:40	64.2	63.6	58.1	62.3	3	100
09/03/2015 07:45	64.4	64.2	57.4	62.3	3	100
09/03/2015 07:50	64.3	64.1	58.2	62.6	3	100
09/03/2015 07:55	66.2	63.9	61.2	63.8	3	100
09/03/2015 08:00	66.7	65.3	61.6	64.6	3	100
09/03/2015 08:05	66.4	64.3	57.5	63.1	3	100
09/03/2015 08:10	64.9	63.8	59.2	62.8	3	100
09/03/2015 08:15	66	63.7	57.8	62.8	3	100
09/03/2015 08:20	65.8	63.7	58.8	63.1	3	100
09/03/2015 08:25	66	64.1	56.8	62.6	3	100
09/03/2015 08:30	65.3	63.9	54.5	61.4	3	100
09/03/2015 08:35	64.9	62.7	53.6	60.6	3	100
09/03/2015 08:40	65.6	63.6	56.3	62	3	100
09/03/2015 08:45	64.2	64.6	55.4	61.6	3	100
09/03/2015 08:50	64.2	65	56.2	62	3	100
09/03/2015 08:55	65.4	65.5	55.7	62.4	3	100
09/03/2015 09:00	66.9	64.5	54.8	62.4	3	100
09/03/2015 09:05	66.9	66.5	55.7	62.8	3	100
09/03/2015 09:10	66.4	65.1	57.3	63	3	100
09/03/2015 09:15	67.1	63.8	54.1	61.6	3	100
09/03/2015 09:20	66.3	63.5	52.4	61	3	100
09/03/2015 09:25	67	63	53.8	60.7	3	100
09/03/2015 09:30	66.1	64	53.8	61.2	3	100
09/03/2015 09:35	65.9	65	56.1	62.4	3	100
09/03/2015 09:40	65.2	62.4	55.3	61.1	3	100
09/03/2015 09:45	65.3	62.4	54.6	60.6	3	100
09/03/2015 09:50	65.7	63	53.8	60.5	3	100
09/03/2015 09:55	65.5	64	55.5	61.5	3	100
09/03/2015 10:00	64.7	62.8	55.3	61.1	3	100
09/03/2015 10:05	65.5	62.6	52.7	60.2	3	100
09/03/2015 10:10	65.3	62.1	53.4	60	3	100
09/03/2015 10:15	65.8	62.3	51.7	59.9	3	100
09/03/2015 10:20	67	65.2	50	60.8	3	100
09/03/2015 10:25	65.5	65.7	50.7	60.5	3	100
09/03/2015 10:30	65.9	64.8	49.1	60.2	3	100
09/03/2015 10:35	66.9	66.1	51.3	61.5	3	100
09/03/2015 10:40	66.1	66.4	51	61.6	3	100
09/03/2015 10:45	65.2	66.1	52.3	61.6	3	100
09/03/2015 10:50	66.2	64.3	49.2	60.4	3	100
09/03/2015 10:55	66.3	61.9	51.1	59.9	3	100
09/03/2015 11:00	65.3	60.5	53.8	59.6	3	100
09/03/2015 11:05	65	59.8	52.2	59.1	3	100
09/03/2015 11:10	66.7	62	51.9	60	3	100
09/03/2015 11:15	66	63.7	55.2	61.6	3	100
09/03/2015 11:20	66.2	65.6	55.8	62.6	3	100
09/03/2015 11:25	66	64.4	53.2	61.3	3	100
09/03/2015 11:30	66.1	64	54.3	61.9	3	100
09/03/2015 11:35	66.8	64.8	53.2	61.5	3	100
09/03/2015 11:40	66.3	64.4	51.8	61.4	3	100
09/03/2015 11:45	67.4	67.2	52.5	62.6	3	100
09/03/2015 11:50	67	66.3	55.2	62.8	3	100
09/03/2015 11:55	66.1	64.7	54.5	61.7	3	100
09/03/2015 12:00	65.2	64.5	53.1	60.8	3	100
09/03/2015 12:05	64	66.2	55.6	61.9	3	100
09/03/2015 12:10	63.6	65.8	53.1	61.3	3	100
09/03/2015 12:15	63.6	62.4	51.6	59.5	3	100
09/03/2015 12:20	64.1	64.9	50.4	59.9	3	100
09/03/2015 12:25	48.6	45.4	37.3	44	3	100
09/03/2015 12:30	34.9	32.3	26.4	31.6	3	100
09/03/2015 12:35	27	26.4	19.7	25	3	100
09/03/2015 12:40	24.4	23	20.2	22.7	3	100
09/03/2015 12:45	20.1	19.6	16.6	19	3	100
09/03/2015 12:50	19.9	19.4	15.9	18.6	3	100
09/03/2015 12:55	18.7	18.5	15.4	17.7	3	100
09/03/2015 13:00	19.8	18.3	13.5	17.7	3	100
09/03/2015 13:05	13.9	17.8	12.6	15.1	3	100
09/03/2015 13:10	16.8	17.4	13.3	16.1	3	100
09/03/2015 13:15	17.2	16.8	15.7	16.6	3	100
09/03/2015 13:20	18.2	17	14.1	16.6	3	100
09/03/2015 13:25	20	17.8	15	17.9	3	100
09/03/2015 13:30	20.1	17.3	16.1	18	3	100
09/03/2015 13:35	15.9	17.5	14	15.9	3	100
09/03/2015 13:40	12.3	19.2	18.8	17	3	100
09/03/2015 13:45	6.4	19.3	16.5	17.6	3	100
09/03/2015 13:50	7.7	19.5	16.8	15.1	3	100
09/03/2015 13:55	13	18.9	16.8	16.1	3	100
09/03/2015 14:00	17.5	19.5	16.5	17.9	3	100
09/03/2015 14:05	18.5	20.3	16.5	18.5	3	100
09/03/2015 14:10	17.8	17.9	17.4	17.7	3	100
09/03/2015 14:15	18.1	17.3	16.6	17.4	3	100
09/03/2015 14:20	17	17.6	18.5	17.7	3	100
09/03/2015 14:25	18.1	19.1	18.7	18.6	3	100
