5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	1	7	8	2	100
09/03/2015 00:05	2	6	8	2	100
09/03/2015 00:10	0	9	9	2	100
09/03/2015 00:15	0	6	6	2	100
09/03/2015 00:20	0	4	4	2	100
09/03/2015 00:25	1	6	7	2	100
09/03/2015 00:30	1	6	7	2	100
09/03/2015 00:35	0	4	4	2	100
09/03/2015 00:40	0	6	6	2	100
09/03/2015 00:45	0	4	4	2	100
09/03/2015 00:50	0	2	2	2	100
09/03/2015 00:55	1	2	3	2	100
09/03/2015 01:00	0	3	3	2	100
09/03/2015 01:05	1	5	6	2	100
09/03/2015 01:10	2	6	8	2	100
09/03/2015 01:15	0	2	2	2	100
09/03/2015 01:20	0	3	3	2	100
09/03/2015 01:25	0	0	0	2	100
09/03/2015 01:30	1	1	2	2	100
09/03/2015 01:35	0	4	4	2	100
09/03/2015 01:40	1	5	6	2	100
09/03/2015 01:45	1	3	4	2	100
09/03/2015 01:50	0	4	4	2	100
09/03/2015 01:55	0	4	4	2	100
09/03/2015 02:00	0	4	4	2	100
09/03/2015 02:05	0	3	3	2	100
09/03/2015 02:10	0	1	1	2	100
09/03/2015 02:15	0	3	3	2	100
09/03/2015 02:20	0	3	3	2	100
09/03/2015 02:25	0	1	1	2	100
09/03/2015 02:30	0	0	0	2	100
09/03/2015 02:35	0	4	4	2	100
09/03/2015 02:40	0	1	1	2	100
09/03/2015 02:45	0	0	0	2	100
09/03/2015 02:50	0	0	0	2	100
09/03/2015 02:55	1	1	2	2	100
09/03/2015 03:00	1	2	3	2	100
09/03/2015 03:05	0	1	1	2	100
09/03/2015 03:10	0	3	3	2	100
09/03/2015 03:15	0	1	1	2	100
09/03/2015 03:20	0	0	0	2	100
09/03/2015 03:25	0	0	0	2	100
09/03/2015 03:30	0	0	0	2	100
09/03/2015 03:35	0	2	2	2	100
